Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who clicked anywhere in your post. (Unique Users),Lifetime: The number of clicks anywhere in your post. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
171162119680585_1188936957903091,https://www.facebook.com/TarletonCOGS/posts/1188936957903091,Learn more about Tarleton's graduate programs! #GatewaytoGoals,Photo,,,3/12/18 2:54 PM, ,230,230,0,311,311,0,5,2,2,0,0,309,228,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_1188213507975436,https://www.facebook.com/TarletonCOGS/posts/1188213507975436,Have you read the latest issue of #TheCOGSConnection?  Check it out online!,Link,,,3/12/18 1:05 PM, ,62,62,0,95,95,0,0,0,0,0,0,94,61,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_1182509068545880,https://www.facebook.com/TarletonCOGS/posts/1182509068545880,The application deadline for Tarleton's EdD program is April 1! Learn more about the application requirements here.,Link,,,3/9/18 3:43 PM, ,744,744,0,1030,1030,0,36,31,34,0,0,603,438,0,0,26,0,0,0,0,0,0,0,0,0,0
171162119680585_1182507491879371,https://www.facebook.com/TarletonCOGS/posts/1182507491879371,Questions about graduate school? Join us for our upcoming open house Tarleton State University - FW.,Link,,,3/8/18 4:39 PM, ,485,485,0,663,663,0,10,3,3,1,1,349,264,0,0,8,0,0,0,0,0,0,0,0,0,0
171162119680585_1182506248546162,https://www.facebook.com/TarletonCOGS/posts/1182506248546162,Nominations for Outstanding Achievement in Law Enforcement Award due March 22. Learn more and submit nominations through the link below.,Link,,,3/7/18 4:36 PM, ,113,113,0,160,160,0,0,0,0,1,1,157,111,0,0,0,0,0,0,0,0,0,0,0,0,0
171162119680585_1184259391704181,https://www.facebook.com/TarletonCOGS/posts/1184259391704181,Still thinking about applying to Tarleton's doctoral program? Join tonight's webinar and have your questions answered! RSVP to receive connection information.,Link,,,3/7/18 12:24 PM, ,234,234,0,349,349,0,5,4,4,1,1,255,160,0,0,4,0,0,0,0,0,0,0,0,0,0
171162119680585_1182669051863215,https://www.facebook.com/TarletonCOGS/posts/1182669051863215,"Listen to faculty informally discuss research at the faculty research coffee hour on Friday at 1 p.m. This month's presenter is Dr. Callie Price who will discuss ""Speed Research."" See you then!",Photo,,,3/7/18 10:04 AM, ,145,145,0,200,200,0,2,1,1,2,2,197,143,0,0,2,0,0,0,0,0,0,0,0,0,0
171162119680585_1184034611726659,https://www.facebook.com/TarletonCOGS/posts/1184034611726659,"“The program brings together faculty and students to discuss the very important topic of ethics as it relates to research and creative activities,” said Dr. Barry Lambert, dean of Tarleton’s College of Graduate Studies. Read more about about the initiative in the article below.",Link,,,3/7/18 6:27 AM, ,535,535,0,756,756,0,34,21,25,0,0,522,359,0,0,29,0,0,0,0,0,0,0,0,0,0
171162119680585_1182497898546997,https://www.facebook.com/TarletonCOGS/posts/1182497898546997,Have six minutes? Learn more about the 40 year history of Tarleton's Counseling program. The deadline for admission to the Clinical Mental Health Counseling program is July 15.,Link,,,3/6/18 4:23 PM, ,294,294,0,493,493,0,16,10,14,1,1,354,198,0,0,9,0,0,0,0,0,0,0,0,0,0
